Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID,Novel,Notes
Incidents in the Life of a Slave Girl,1861,"Jacobs, Harriet Ann",1813,1897,1800-1899,87,1.17168,jacobs_incidents-in-the-life-of-a_1861,11030,FALSE,Slave narrative/autobiography
Redburn,1849,"Melville, Herman",1819,1891,1800-1899,86,1.156081,melville_redburn_1849,8118,TRUE,Semi-autobiographical novel
Iola Leroy,1892,"Harper, Frances Ellen Watkins",1825,1911,1800-1899,84,1.124882,harper_iola-leroy_1892,12352,TRUE,
Home to Harlem,1928,"McKay, Claude",1890,1948,1900-1999,63,1.121976,mckay_home-to-harlem_1928,,TRUE,
Jennie Gerhardt,1911,"Dreiser, Theodore",1871,1945,1900-1999,61,1.078672,dreiser_jennie-gerhardt_1911,28988,TRUE,
The Sacred Fount,1901,"James, Henry, Jr.",1843,1916,1900-1999,61,1.078672,james_the-sacred-fount_1901,32939,TRUE,
The House behind the Cedars,1900,"Chesnutt, Charles W.",1858,1932,1900-1999,60,1.057021,chesnutt_the-house-behind-the-cedars_1900,472,TRUE,
Benito Cereno,1855,"Melville, Herman",1819,1891,1800-1899,79,1.046887,melville_benito-cereno_1855,,TRUE,Novella
Blake,1859,"Delany, Martin Robison",1812,1885,1800-1899,78,1.031288,delany_blake_1859,,TRUE,Unfinished novel
The Spoils of Poynton,1897,"James, Henry, Jr.",1843,1916,1800-1899,78,1.031288,james_the-spoils-of-poynton_1897,33325,TRUE,
A Hazard of New Fortunes,1890,"Howells, William Dean",1837,1920,1800-1899,76,1.00009,howells_a-hazard-of-new-fortunes_1890,4600,TRUE,
The Jungle,1906,"Sinclair, Upton",1878,1968,1900-1999,57,0.992066,sinclair_the-jungle_1906,140,TRUE,
White-Jacket,1850,"Melville, Herman",1819,1891,1800-1899,75,0.98449,melville_whitejacket_1850,,TRUE,Semi-autobiographical novel
Clotel,1853,"Brown, William Wells",1814,1884,1800-1899,74,0.968891,brown_clotel_1853,2046,TRUE,
The Squatter and the Don,1885,"Ruiz de Burton, María Amparo",1832,1895,1800-1899,73,0.953292,ruizdeburton_the-squatter-and-the-don_1885,35538,TRUE,
The Call of the Wild,1903,"London, Jack",1876,1916,1900-1999,55,0.948763,london_the-call-of-the-wild_1903,215,TRUE,Novella
The Algerine Captive,1797,"Tyler, Royall",1757,1826,1700-1799,31,0.936661,tyler_the-algerine-captive_1797,,TRUE,
The Souls of Black Folk,1903,"Du Bois, W. E. B.",1868,1963,1900-1999,54,0.927111,dubois_the-souls-of-black-folk_1903,408,FALSE,Essay collection
Contending Forces,1900,"Hopkins, Pauline E.",1859,1930,1900-1999,54,0.927111,hopkins_contending-forces_1900,,TRUE,
Washington Square,1881,"James, Henry, Jr.",1843,1916,1800-1899,71,0.922094,james_washington-square_1881,2870,TRUE,
"The Wide, Wide World",1850,"Warner, Susan",1819,1885,1800-1899,69,0.890896,warner_the-wide-wide-world_1850,28376,TRUE,
Israel Potter,1855,"Melville, Herman",1819,1891,1800-1899,68,0.875297,melville_israel-potter_1855,15422,TRUE,
Barren Ground,1925,"Glasgow, Ellen",1873,1945,1900-1999,51,0.862156,glasgow_barren-ground_1925,66191,TRUE,
Bread Givers,1925,"Yezierska, Anzia",1885,1970,1900-1999,51,0.862156,yezierska_bread-givers_1925,,TRUE,
The Grandissimes,1880,"Cable, George Washington",1844,1925,1800-1899,67,0.859698,cable_the-grandissimes_1880,12280,TRUE,
Roderick Hudson,1876,"James, Henry, Jr.",1843,1916,1800-1899,67,0.859698,james_roderick-hudson_1876,176,TRUE,
The Tragic Muse,1890,"James, Henry, Jr.",1843,1916,1800-1899,67,0.859698,james_the-tragic-muse_1890,20085,TRUE,
The Turn of the Screw,1898,"James, Henry, Jr.",1843,1916,1800-1899,66,0.844098,james_the-turn-of-the-screw_1898,209,TRUE,Novella
The Soveraignty and Goodness of God: A Narrative of the Captivity,1682,"Rowlandson, Mary",1635,1711,1600-1699,9,0.834305,rowlandson_the-soveraignty-and-goodness_1682,,FALSE,Puritan captivity narrative/memoir
Dark Princess,1928,"Du Bois, W. E. B.",1868,1963,1900-1999,49,0.818853,dubois_dark-princess_1928,,TRUE,
This Side of Paradise,1920,"Fitzgerald, F. Scott",1896,1940,1900-1999,49,0.818853,fitzgerald_this-side-of-paradise_1920,805,TRUE,
The Sea-Wolf,1904,"London, Jack",1876,1916,1900-1999,49,0.818853,london_the-seawolf_1904,1074,TRUE,
The Pit,1903,"Norris, Frank",1870,1902,1900-1999,49,0.818853,norris_the-pit_1903,4382,TRUE,
Ramona,1884,"Jackson, Helen Hunt",1830,1885,1800-1899,62,0.781702,jackson_ramona_1884,2802,TRUE,
Dred,1856,"Stowe, Harriet Beecher",1811,1896,1800-1899,62,0.781702,stowe_dred_1856,55012,TRUE,
