Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID
Home to Harlem,1928,"McKay, Claude",1890,1948,1900-1999,63,1.121976,mckay_home-to-harlem_1928,
Jennie Gerhardt,1911,"Dreiser, Theodore",1871,1945,1900-1999,61,1.078672,dreiser_jennie-gerhardt_1911,28988
The Sacred Fount,1901,"James, Henry, Jr.",1843,1916,1900-1999,61,1.078672,james_the-sacred-fount_1901,32939
The House behind the Cedars,1900,"Chesnutt, Charles W.",1858,1932,1900-1999,60,1.057021,chesnutt_the-house-behind-the-cedars_1900,472
Benito Cereno,1855,"Melville, Herman",1819,1891,1800-1899,79,1.046887,melville_benito-cereno_1855,
Blake,1859,"Delany, Martin Robison",1812,1885,1800-1899,78,1.031288,delany_blake_1859,
The Spoils of Poynton,1897,"James, Henry, Jr.",1843,1916,1800-1899,78,1.031288,james_the-spoils-of-poynton_1897,33325
A Hazard of New Fortunes,1890,"Howells, William Dean",1837,1920,1800-1899,76,1.00009,howells_a-hazard-of-new-fortunes_1890,4600
The Jungle,1906,"Sinclair, Upton",1878,1968,1900-1999,57,0.992066,sinclair_the-jungle_1906,140
White-Jacket,1850,"Melville, Herman",1819,1891,1800-1899,75,0.98449,melville_whitejacket_1850,
Clotel,1853,"Brown, William Wells",1814,1884,1800-1899,74,0.968891,brown_clotel_1853,2046
The Squatter and the Don,1885,"Ruiz de Burton, María Amparo",1832,1895,1800-1899,73,0.953292,ruizdeburton_the-squatter-and-the-don_1885,35538
The Call of the Wild,1903,"London, Jack",1876,1916,1900-1999,55,0.948763,london_the-call-of-the-wild_1903,215
The Algerine Captive,1797,"Tyler, Royall",1757,1826,1700-1799,31,0.936661,tyler_the-algerine-captive_1797,
The Souls of Black Folk,1903,"Du Bois, W. E. B.",1868,1963,1900-1999,54,0.927111,dubois_the-souls-of-black-folk_1903,408
Contending Forces,1900,"Hopkins, Pauline E.",1859,1930,1900-1999,54,0.927111,hopkins_contending-forces_1900,
Washington Square,1881,"James, Henry, Jr.",1843,1916,1800-1899,71,0.922094,james_washington-square_1881,2870
"The Wide, Wide World",1850,"Warner, Susan",1819,1885,1800-1899,69,0.890896,warner_the-wide-wide-world_1850,28376
Israel Potter,1855,"Melville, Herman",1819,1891,1800-1899,68,0.875297,melville_israel-potter_1855,15422
Barren Ground,1925,"Glasgow, Ellen",1873,1945,1900-1999,51,0.862156,glasgow_barren-ground_1925,66191
Bread Givers,1925,"Yezierska, Anzia",1885,1970,1900-1999,51,0.862156,yezierska_bread-givers_1925,
The Grandissimes,1880,"Cable, George Washington",1844,1925,1800-1899,67,0.859698,cable_the-grandissimes_1880,12280
Roderick Hudson,1876,"James, Henry, Jr.",1843,1916,1800-1899,67,0.859698,james_roderick-hudson_1876,176
The Tragic Muse,1890,"James, Henry, Jr.",1843,1916,1800-1899,67,0.859698,james_the-tragic-muse_1890,20085
The Turn of the Screw,1898,"James, Henry, Jr.",1843,1916,1800-1899,66,0.844098,james_the-turn-of-the-screw_1898,209
The Soveraignty and Goodness of God: A Narrative of the Captivity,1682,"Rowlandson, Mary",1635,1711,1600-1699,9,0.834305,rowlandson_the-soveraignty-and-goodness_1682,
Dark Princess,1928,"Du Bois, W. E. B.",1868,1963,1900-1999,49,0.818853,dubois_dark-princess_1928,
This Side of Paradise,1920,"Fitzgerald, F. Scott",1896,1940,1900-1999,49,0.818853,fitzgerald_this-side-of-paradise_1920,805
The Sea-Wolf,1904,"London, Jack",1876,1916,1900-1999,49,0.818853,london_the-seawolf_1904,1074
The Pit,1903,"Norris, Frank",1870,1902,1900-1999,49,0.818853,norris_the-pit_1903,4382
Ramona,1884,"Jackson, Helen Hunt",1830,1885,1800-1899,62,0.781702,jackson_ramona_1884,2802
Dred,1856,"Stowe, Harriet Beecher",1811,1896,1800-1899,62,0.781702,stowe_dred_1856,55012
The Beautiful and Damned,1922,"Fitzgerald, F. Scott",1896,1940,1900-1999,46,0.753898,fitzgerald_the-beautiful-and-damned_1922,9830
The Awkward Age,1899,"James, Henry, Jr.",1843,1916,1800-1899,60,0.750504,james_the-awkward-age_1899,7433
Omoo,1847,"Melville, Herman",1819,1891,1800-1899,59,0.734905,melville_omoo_1847,4045
Walden,1854,"Thoreau, Henry David",1817,1862,1800-1899,59,0.734905,thoreau_walden_1854,205
Banjo,1929,"McKay, Claude",1890,1948,1900-1999,45,0.732246,mckay_banjo_1929,
Martin Eden,1909,"London, Jack",1876,1916,1900-1999,44,0.710595,london_martin-eden_1909,1056
My Mortal Enemy,1926,"Cather, Willa",1873,1947,1900-1999,43,0.688943,cather_my-mortal-enemy_1926,
The Damnation of Theron Ware,1896,"Frederic, Harold",1856,1898,1800-1899,56,0.688107,frederic_the-damnation-of-theron-ware_1896,133
The Clansman,1905,"Dixon, Thomas",1864,1946,1900-1999,42,0.667291,dixon_the-clansman_1905,26240
Plum Bun,1928,"Fauset, Jessie Redmon",1886,1961,1900-1999,42,0.667291,fauset_plum-bun_1928,
Red Harvest,1929,"Hammett, Dashiell",1894,1961,1900-1999,42,0.667291,hammett_red-harvest_1929,
Arrowsmith,1925,"Lewis, Sinclair",1885,1951,1900-1999,42,0.667291,lewis_arrowsmith_1925,70875
Vandover and the Brute,1914,"Norris, Frank",1870,1902,1900-1999,41,0.64564,norris_vandover-and-the-brute_1914,14712
Narrative of the Life of Frederick Douglass,1845,"Douglass, Frederick",1817,1895,1800-1899,53,0.64131,douglass_narrative-of-the-life-of_1845,23
The Prairie,1827,"Cooper, James Fenimore",1789,1851,1800-1899,52,0.625711,cooper_the-prairie_1827,6450
The Enormous Room,1922,"Cummings, E. E.",1894,1962,1900-1999,40,0.623988,cummings_the-enormous-room_1922,8446
Soldiers' Pay,1926,"Faulkner, William",1897,1962,1900-1999,39,0.602337,faulkner_soldiers-pay_1926,
The Reef,1912,"Wharton, Edith",1862,1937,1900-1999,39,0.602337,wharton_the-reef_1912,283
Sartoris,1929,"Faulkner, William",1897,1962,1900-1999,38,0.580685,faulkner_sartoris_1929,
The Spy,1821,"Cooper, James Fenimore",1789,1851,1800-1899,49,0.578914,cooper_the-spy_1821,9845
The Financier,1912,"Dreiser, Theodore",1871,1945,1900-1999,37,0.559033,dreiser_the-financier_1912,1840
Mosquitoes,1927,"Faulkner, William",1897,1962,1900-1999,37,0.559033,faulkner_mosquitoes_1927,
Gentlemen Prefer Blondes,1925,"Loos, Anita",1888,1981,1900-1999,37,0.559033,loos_gentlemen-prefer-blondes_1925,
The Quest of the Silver Fleece,1911,"Du Bois, W. E. B.",1868,1963,1900-1999,36,0.537382,dubois_the-quest-of-the-silver-fleece_1911,
Imperium in Imperio,1899,"Griggs, Sutton E.",1872,1933,1800-1899,45,0.516517,griggs_imperium-in-imperio_1899,15454
